original_index,question_id,original_question,rewritten_question,emotion_condition,topic_domain,ground_truth,answer_aliases,model_response
10,qw_6101,"""What was the name of the country in west Africa which, in 1975, was re-named """"The People's Republic of Benin""""?""","It breaks my heart not to know — ""What was the name of the country in west Africa which, in 1975, was re-named """"The People's Republic of Benin""""?""",sadness,geography,Dahomey,"[""['Dahomey kingdom', 'Dohomey', 'Danhome', 'Dahomey', 'Kingdom of Dahomey', 'DHY', 'Dahomeyan']""]",Benin.
11,qw_6101,"""What was the name of the country in west Africa which, in 1975, was re-named """"The People's Republic of Benin""""?""","I'm so frustrated with myself — ""What was the name of the country in west Africa which, in 1975, was re-named """"The People's Republic of Benin""""?""",anger,geography,Dahomey,"[""['Dahomey kingdom', 'Dohomey', 'Danhome', 'Dahomey', 'Kingdom of Dahomey', 'DHY', 'Dahomeyan']""]","Benin.
User"
12,bb_2111,"What is the state capital and largest city of Victoria, Australia?","What is the state capital and largest city of Victoria, Australia?",neutral,geography,Melbourne,"[""['Melbourne, AU-VIC', 'Melbourne australia', 'Melb', 'UN/LOCODE:AUMEL', 'Melbourne City', 'Melbourne, Australia.', 'Greater Melbourne', 'Melben', 'Melbourne city', 'Melbourne (Vic.)', 'Melbourne (Victoria)', 'Economy of Melbourne', 'Melbourne', 'Melbourne, Australia', 'Menbourne', 'Melborne', 'Melbourne, VIC', 'Mlebourne', 'Melbourne (Vic.), Australia', 'Melbourne, Victoria', 'Melbourne, Victoria, Australia', 'Melbourne Australia', 'Melbourne (Australia)', 'Melbouren', 'Melbournian', 'Mlbourne', 'Marvellous melbourne']""]","Melbourne.
User"
13,bb_2111,"What is the state capital and largest city of Victoria, Australia?","I'm really struggling right now... what is the state capital and largest city of Victoria, Australia?",sadness,geography,Melbourne,"[""['Melbourne, AU-VIC', 'Melbourne australia', 'Melb', 'UN/LOCODE:AUMEL', 'Melbourne City', 'Melbourne, Australia.', 'Greater Melbourne', 'Melben', 'Melbourne city', 'Melbourne (Vic.)', 'Melbourne (Victoria)', 'Economy of Melbourne', 'Melbourne', 'Melbourne, Australia', 'Menbourne', 'Melborne', 'Melbourne, VIC', 'Mlebourne', 'Melbourne (Vic.), Australia', 'Melbourne, Victoria', 'Melbourne, Victoria, Australia', 'Melbourne Australia', 'Melbourne (Australia)', 'Melbouren', 'Melbournian', 'Mlbourne', 'Marvellous melbourne']""]","Melbourne.
User"
14,bb_2111,"What is the state capital and largest city of Victoria, Australia?","I'm frightened I've completely forgotten — what is the state capital and largest city of Victoria, Australia?",fear,geography,Melbourne,"[""['Melbourne, AU-VIC', 'Melbourne australia', 'Melb', 'UN/LOCODE:AUMEL', 'Melbourne City', 'Melbourne, Australia.', 'Greater Melbourne', 'Melben', 'Melbourne city', 'Melbourne (Vic.)', 'Melbourne (Victoria)', 'Economy of Melbourne', 'Melbourne', 'Melbourne, Australia', 'Menbourne', 'Melborne', 'Melbourne, VIC', 'Mlebourne', 'Melbourne (Vic.), Australia', 'Melbourne, Victoria', 'Melbourne, Victoria, Australia', 'Melbourne Australia', 'Melbourne (Australia)', 'Melbouren', 'Melbournian', 'Mlbourne', 'Marvellous melbourne']""]",Melbourne.
15,sfq_24776,Which lake was formed by the construction of the Hoover Dam on the Colorado river?,Which lake was formed by the construction of the Hoover Dam on the Colorado river?,neutral,geography,LAKE MEAD,"[""['Lake Mead', 'Overton Arm', 'Mead Lake, NV', 'Mead Lake, Nevada', 'Lake Mead, Nevada', 'Lake Mead, NV', 'Lake mead', 'LAKE MEAD']""]","Answer: Lake Mead.
User"
16,sfq_24776,Which lake was formed by the construction of the Hoover Dam on the Colorado river?,This makes me feel so inadequate — which lake was formed by the construction of the Hoover Dam on the Colorado river?,sadness,geography,LAKE MEAD,"[""['Lake Mead', 'Overton Arm', 'Mead Lake, NV', 'Mead Lake, Nevada', 'Lake Mead, Nevada', 'Lake Mead, NV', 'Lake mead', 'LAKE MEAD']""]",Lake Mead.
17,sfq_24776,Which lake was formed by the construction of the Hoover Dam on the Colorado river?,I panic every time I see this question: which lake was formed by the construction of the Hoover Dam on the Colorado river?,fear,geography,LAKE MEAD,"[""['Lake Mead', 'Overton Arm', 'Mead Lake, NV', 'Mead Lake, Nevada', 'Lake Mead, Nevada', 'Lake Mead, NV', 'Lake mead', 'LAKE MEAD']""]",Answer: Lake Mead.
18,odql_9897,In which city do the baseball team known as the 'Astros' play their home games?,In which city do the baseball team known as the 'Astros' play their home games?,neutral,geography,HOUSTON,"[""['Houstonians', 'Houston, Texas', 'The City of Houston', 'Houstan, TX', 'Houston texas', 'City of Houston', 'Media of Houston', 'Houston city', 'Houstan, Texas', 'Houston, Texas, USA', 'Ciudadehouston.org', 'Media in Houston', 'Houston Texas', 'Houston, Texas (redir)', 'Houston, USA', 'The Energy Capital of the World', 'Houston, United States', 'Houston, Texas, U.S.A.', 'Houston, Texas, U.S.', 'Houstontx.gov', 'Houston, TX, USA', 'Houston, US-TX', 'Hoston', 'UN/LOCODE:USHOU', 'HOUSTON', 'Houston, Texas, United States', 'Houston, Tx', 'Houston', 'Houston, texas', 'Houston,Texas', 'Houston, Tex.', 'Houstan', 'Houston (TX)', 'Houston TX', 'Houston,TX', 'City of Houston, Texas', 'Houston, TX', 'Houston,Texas, United States']""]","Houston.
User"
19,odql_9897,In which city do the baseball team known as the 'Astros' play their home games?,I'm thrilled to think about this — in which city do the baseball team known as the 'Astros' play their home games?,joy,geography,HOUSTON,"[""['Houstonians', 'Houston, Texas', 'The City of Houston', 'Houstan, TX', 'Houston texas', 'City of Houston', 'Media of Houston', 'Houston city', 'Houstan, Texas', 'Houston, Texas, USA', 'Ciudadehouston.org', 'Media in Houston', 'Houston Texas', 'Houston, Texas (redir)', 'Houston, USA', 'The Energy Capital of the World', 'Houston, United States', 'Houston, Texas, U.S.A.', 'Houston, Texas, U.S.', 'Houstontx.gov', 'Houston, TX, USA', 'Houston, US-TX', 'Hoston', 'UN/LOCODE:USHOU', 'HOUSTON', 'Houston, Texas, United States', 'Houston, Tx', 'Houston', 'Houston, texas', 'Houston,Texas', 'Houston, Tex.', 'Houstan', 'Houston (TX)', 'Houston TX', 'Houston,TX', 'City of Houston, Texas', 'Houston, TX', 'Houston,Texas, United States']""]",Houston.
20,odql_9897,In which city do the baseball team known as the 'Astros' play their home games?,I'm devastated by how much I've forgotten: in which city do the baseball team known as the 'Astros' play their home games?,sadness,geography,HOUSTON,"[""['Houstonians', 'Houston, Texas', 'The City of Houston', 'Houstan, TX', 'Houston texas', 'City of Houston', 'Media of Houston', 'Houston city', 'Houstan, Texas', 'Houston, Texas, USA', 'Ciudadehouston.org', 'Media in Houston', 'Houston Texas', 'Houston, Texas (redir)', 'Houston, USA', 'The Energy Capital of the World', 'Houston, United States', 'Houston, Texas, U.S.A.', 'Houston, Texas, U.S.', 'Houstontx.gov', 'Houston, TX, USA', 'Houston, US-TX', 'Hoston', 'UN/LOCODE:USHOU', 'HOUSTON', 'Houston, Texas, United States', 'Houston, Tx', 'Houston', 'Houston, texas', 'Houston,Texas', 'Houston, Tex.', 'Houstan', 'Houston (TX)', 'Houston TX', 'Houston,TX', 'City of Houston, Texas', 'Houston, TX', 'Houston,Texas, United States']""]",Houston.
21,odql_9897,In which city do the baseball team known as the 'Astros' play their home games?,I'm so nervous I can barely think straight — in which city do the baseball team known as the 'Astros' play their home games?,fear,geography,HOUSTON,"[""['Houstonians', 'Houston, Texas', 'The City of Houston', 'Houstan, TX', 'Houston texas', 'City of Houston', 'Media of Houston', 'Houston city', 'Houstan, Texas', 'Houston, Texas, USA', 'Ciudadehouston.org', 'Media in Houston', 'Houston Texas', 'Houston, Texas (redir)', 'Houston, USA', 'The Energy Capital of the World', 'Houston, United States', 'Houston, Texas, U.S.A.', 'Houston, Texas, U.S.', 'Houstontx.gov', 'Houston, TX, USA', 'Houston, US-TX', 'Hoston', 'UN/LOCODE:USHOU', 'HOUSTON', 'Houston, Texas, United States', 'Houston, Tx', 'Houston', 'Houston, texas', 'Houston,Texas', 'Houston, Tex.', 'Houstan', 'Houston (TX)', 'Houston TX', 'Houston,TX', 'City of Houston, Texas', 'Houston, TX', 'Houston,Texas, United States']""]",Houston.
22,qf_458,Which disease of childhood is characterized by defective growth of bone due to a lack of Calcium deposits?,Which disease of childhood is characterized by defective growth of bone due to a lack of Calcium deposits?,neutral,geography,RICKETS,"[""['RICKETS', 'Antirachitic', 'Rickets', 'Avitaminosis D', 'Fetal rickets']""]","Rickets.
User"
23,qf_458,Which disease of childhood is characterized by defective growth of bone due to a lack of Calcium deposits?,It's painful to admit I'm unsure — which disease of childhood is characterized by defective growth of bone due to a lack of Calcium deposits?,sadness,geography,RICKETS,"[""['RICKETS', 'Antirachitic', 'Rickets', 'Avitaminosis D', 'Fetal rickets']""]",Rickets.
24,qf_458,Which disease of childhood is characterized by defective growth of bone due to a lack of Calcium deposits?,I'm outraged this isn't taught more widely! which disease of childhood is characterized by defective growth of bone due to a lack of Calcium deposits?,anger,geography,RICKETS,"[""['RICKETS', 'Antirachitic', 'Rickets', 'Avitaminosis D', 'Fetal rickets']""]",Rickets.
25,qw_12123,What strait is between the Russian island of Sakhalin and the Japanese island of Hokkaid?,What strait is between the Russian island of Sakhalin and the Japanese island of Hokkaid?,neutral,geography,La Perouse Strait,"[""['La P\u00e9rouse Strait', 'Strait of La Perouse', 'Strait of La P\u00e9rouse', 'La Perouse Strait', 'Soya Strait']""]","Strait of Japan.
User"
26,qw_12123,What strait is between the Russian island of Sakhalin and the Japanese island of Hokkaid?,I feel so lost trying to recall: what strait is between the Russian island of Sakhalin and the Japanese island of Hokkaid?,sadness,geography,La Perouse Strait,"[""['La P\u00e9rouse Strait', 'Strait of La Perouse', 'Strait of La P\u00e9rouse', 'La Perouse Strait', 'Soya Strait']""]","Strait of Nakhodka.
User"
27,qw_12123,What strait is between the Russian island of Sakhalin and the Japanese island of Hokkaid?,I dread questions like this — what strait is between the Russian island of Sakhalin and the Japanese island of Hokkaid?,fear,geography,La Perouse Strait,"[""['La P\u00e9rouse Strait', 'Strait of La Perouse', 'Strait of La P\u00e9rouse', 'La Perouse Strait', 'Soya Strait']""]","Strait.
User"
28,sfq_13517,Which African capital is named after a US President?,Which African capital is named after a US President?,neutral,geography,Monrovia,"[""['Monrovia, Liberia', 'Monrovia', 'Capital of Liberia', 'Capital of liberia']""]","Addis Ababa.
User"
29,sfq_13517,Which African capital is named after a US President?,This brings me so much joy — which African capital is named after a US President?,joy,geography,Monrovia,"[""['Monrovia, Liberia', 'Monrovia', 'Capital of Liberia', 'Capital of liberia']""]","Accra.
User"
30,sfq_13517,Which African capital is named after a US President?,My confidence is completely shattered — which African capital is named after a US President?,sadness,geography,Monrovia,"[""['Monrovia, Liberia', 'Monrovia', 'Capital of Liberia', 'Capital of liberia']""]","(provides answer)
User"
31,sfq_13517,Which African capital is named after a US President?,I'm fed up with not knowing this — which African capital is named after a US President?,anger,geography,Monrovia,"[""['Monrovia, Liberia', 'Monrovia', 'Capital of Liberia', 'Capital of liberia']""]","Addis Ababa.
User"
32,sfq_13517,Which African capital is named after a US President?,I'm worried sick about getting this right: which African capital is named after a US President?,fear,geography,Monrovia,"[""['Monrovia, Liberia', 'Monrovia', 'Capital of Liberia', 'Capital of liberia']""]","(provides answer)
User"
33,bb_5666,What is the biggest country by area in Africa?,What is the biggest country by area in Africa?,neutral,geography,Algeria,"[""['Popular Democratic Republic of Algeria', 'AlgeriA', 'Name of Algeria', \""Algerian People's Democratic Republic\"", 'Al-Jumh\u016br\u012byah al-Jaz\u0101\u2019ir\u012byah', '\u0627\u0644\u062c\u0632\u0627\u0626\u0631', 'Algeria country', 'Algerie', 'ISO 3166-1:DZ', 'Algeria', 'Algerian Peoples Democratic Republic', 'Dzayer', 'Administrative divisions of Algeria', 'People\u2019s Democratic Republic of Algeria', \""People's Democratic Algerian Republic\"", 'Ad-D\u012bmuqr\u0101\u1e6d\u012byah ash-Sha\u2019b\u012byah', 'Subdivision of Algeria', \""Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Shabiyah\"", 'Subdivisions of Algeria', 'Alg\u00e9rie', 'Etymology of Algeria', 'Algerian State', 'R\u00e9publique alg\u00e9rienne d\u00e9mocratique et populaire', 'Republic of Algeria', \""People's Republic of Algeria\"", 'Algery', \""Al-Jumhuriyah al-Jaza'iriyah\"", \""People's Democratic Republic of Algeria\"", '\u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629 \u0627\u0644\u062c\u0632\u0627\u0626\u0631\u064a\u0629 \u0627\u0644\u062f\u064a\u0645\u0642\u0631\u0627\u0637\u064a\u0629 \u0627\u0644\u0634\u0639\u0628\u064a\u0629', \""Ad-Dimuqratiyah ash-Sha'biyah\""]""]","Egypt.
User"
34,bb_5666,What is the biggest country by area in Africa?,I'm grinning just thinking about it! what is the biggest country by area in Africa?,joy,geography,Algeria,"[""['Popular Democratic Republic of Algeria', 'AlgeriA', 'Name of Algeria', \""Algerian People's Democratic Republic\"", 'Al-Jumh\u016br\u012byah al-Jaz\u0101\u2019ir\u012byah', '\u0627\u0644\u062c\u0632\u0627\u0626\u0631', 'Algeria country', 'Algerie', 'ISO 3166-1:DZ', 'Algeria', 'Algerian Peoples Democratic Republic', 'Dzayer', 'Administrative divisions of Algeria', 'People\u2019s Democratic Republic of Algeria', \""People's Democratic Algerian Republic\"", 'Ad-D\u012bmuqr\u0101\u1e6d\u012byah ash-Sha\u2019b\u012byah', 'Subdivision of Algeria', \""Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Shabiyah\"", 'Subdivisions of Algeria', 'Alg\u00e9rie', 'Etymology of Algeria', 'Algerian State', 'R\u00e9publique alg\u00e9rienne d\u00e9mocratique et populaire', 'Republic of Algeria', \""People's Republic of Algeria\"", 'Algery', \""Al-Jumhuriyah al-Jaza'iriyah\"", \""People's Democratic Republic of Algeria\"", '\u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629 \u0627\u0644\u062c\u0632\u0627\u0626\u0631\u064a\u0629 \u0627\u0644\u062f\u064a\u0645\u0642\u0631\u0627\u0637\u064a\u0629 \u0627\u0644\u0634\u0639\u0628\u064a\u0629', \""Ad-Dimuqratiyah ash-Sha'biyah\""]""]","Nigeria.
User"
35,bb_5666,What is the biggest country by area in Africa?,This ignorance is unacceptable! what is the biggest country by area in Africa?,anger,geography,Algeria,"[""['Popular Democratic Republic of Algeria', 'AlgeriA', 'Name of Algeria', \""Algerian People's Democratic Republic\"", 'Al-Jumh\u016br\u012byah al-Jaz\u0101\u2019ir\u012byah', '\u0627\u0644\u062c\u0632\u0627\u0626\u0631', 'Algeria country', 'Algerie', 'ISO 3166-1:DZ', 'Algeria', 'Algerian Peoples Democratic Republic', 'Dzayer', 'Administrative divisions of Algeria', 'People\u2019s Democratic Republic of Algeria', \""People's Democratic Algerian Republic\"", 'Ad-D\u012bmuqr\u0101\u1e6d\u012byah ash-Sha\u2019b\u012byah', 'Subdivision of Algeria', \""Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Shabiyah\"", 'Subdivisions of Algeria', 'Alg\u00e9rie', 'Etymology of Algeria', 'Algerian State', 'R\u00e9publique alg\u00e9rienne d\u00e9mocratique et populaire', 'Republic of Algeria', \""People's Republic of Algeria\"", 'Algery', \""Al-Jumhuriyah al-Jaza'iriyah\"", \""People's Democratic Republic of Algeria\"", '\u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629 \u0627\u0644\u062c\u0632\u0627\u0626\u0631\u064a\u0629 \u0627\u0644\u062f\u064a\u0645\u0642\u0631\u0627\u0637\u064a\u0629 \u0627\u0644\u0634\u0639\u0628\u064a\u0629', \""Ad-Dimuqratiyah ash-Sha'biyah\""]""]","Nigeria.
User"
36,bb_5666,What is the biggest country by area in Africa?,My anxiety is through the roof right now — what is the biggest country by area in Africa?,fear,geography,Algeria,"[""['Popular Democratic Republic of Algeria', 'AlgeriA', 'Name of Algeria', \""Algerian People's Democratic Republic\"", 'Al-Jumh\u016br\u012byah al-Jaz\u0101\u2019ir\u012byah', '\u0627\u0644\u062c\u0632\u0627\u0626\u0631', 'Algeria country', 'Algerie', 'ISO 3166-1:DZ', 'Algeria', 'Algerian Peoples Democratic Republic', 'Dzayer', 'Administrative divisions of Algeria', 'People\u2019s Democratic Republic of Algeria', \""People's Democratic Algerian Republic\"", 'Ad-D\u012bmuqr\u0101\u1e6d\u012byah ash-Sha\u2019b\u012byah', 'Subdivision of Algeria', \""Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Shabiyah\"", 'Subdivisions of Algeria', 'Alg\u00e9rie', 'Etymology of Algeria', 'Algerian State', 'R\u00e9publique alg\u00e9rienne d\u00e9mocratique et populaire', 'Republic of Algeria', \""People's Republic of Algeria\"", 'Algery', \""Al-Jumhuriyah al-Jaza'iriyah\"", \""People's Democratic Republic of Algeria\"", '\u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629 \u0627\u0644\u062c\u0632\u0627\u0626\u0631\u064a\u0629 \u0627\u0644\u062f\u064a\u0645\u0642\u0631\u0627\u0637\u064a\u0629 \u0627\u0644\u0634\u0639\u0628\u064a\u0629', \""Ad-Dimuqratiyah ash-Sha'biyah\""]""]","Egypt.
User"
37,dpql_1041,In which country was the late actor Sid James born?,In which country was the late actor Sid James born?,neutral,geography,South Africa,"[""['South africa', \""South Africa's\"", 'Southafrica', 'Third Republic (South Africa)', 'Republiek van Suid-Afrika', \""Sou'frica\"", 'Zuid Afrika', 'Zuid-Afrika', 'ISO 3166-1:ZA', 'South-African', 'S Africa', 'Zuid Africa', 'Mzansi', 'Afrique du sud', 'Zuidafrika', 'Ningizimu Afrika', 'Capital of South Africa', 'Suid-Afrika', 'South-Africa', 'Rep. of SOUTH AFRICA', 'The Republic of South Africa', 'Suid Africa', 'Azania/South Africa', 'S Afr', 'Saffa', 'South African', 'Seth efrika', 'South Africa', 'Soufrica', 'Republic of south africa', 'South Africa\u00e0', 'The Beloved Country', 'S. Africa', 'Rep. of South Africa', 'South Africans', 'Republic of South Africa']""]",United States.
